# Convention: CF-1.6
# featureType: timeSeries
# history: Created Wed Mar 27 20:39:32 2019
# processing_notes: This file was produced Wed Mar 27 20:36:25 2019 by Kevin Sampson (NCAR) and has the following attributes: 
#    This file uses the NHDPlus v21 "flattened" geodatabase: NHDPlusV21_National_HI_PR_VI_PI_Seamless_Geodatabase_03.gdb.
#    Topology fixes using: Topology_Fixer.csv.
#    NHDFlowlines removed using: Remove_COMIDs_NHDFLowline_Network.csv.
#    Gage preference list: numberOf100QualityObs.2017-03-15.csv.
#    Gage subset list: numberOf100QualityObs.2017-03-15.csv.
#    Gage additions made using: Add_Gage_Association.csv.
#    Gage-to-flowline association changes made using: Bad_Gage_Associations.csv.
#    Tidal-influenced gages removed using: TidalGageList_20170316.csv.
#    Waterbody associations using spatial join with Lake feature class Input_Reservoirs.shp.
# version: NWM v2.1
# Extracted from NetCDF on 2021-05-03 15:46:23.642612+00:00
# Some column names were changed when extracting from the original NetCDF format.
# link -> nwm_feature_id
# gages -> usgs_site_code
# lat -> latitude
# lon -> longitude
# 
feature_id,nwm_feature_id,from,to,longitude,latitude,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,usgs_site_code,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
11618,800027665,0,800040560,-65.98995,18.349907,16.19,4,0.0,3600.0,0.2,2524.0,0.055,0.00273,0.46387208,4.8566647,-9999,2000-01-01,50059210,0,6983,0.11,24.283323,8.094441
11652,800032272,0,800025816,-65.7002,18.275898,69.39,3,0.0,3600.0,0.2,918.0,0.055,0.00203,0.48923758,4.3045645,-9999,2000-01-01,50070900,0,9202,0.11,21.522823,7.174274
11782,800036348,0,800029904,-65.89416,18.058077,19.49,4,0.0,3600.0,0.2,4075.0,0.055,0.00167,0.4435069,5.376916,-9999,2000-01-01,50083500,0,10558,0.11,26.88458,8.961527
11802,800040165,0,800037959,-66.23134,18.300842,81.8,3,0.0,3600.0,0.2,889.0,0.055,0.00832,0.49823838,4.130315,-9999,2000-01-01,50044810,0,7016,0.11,20.651573,6.8838577
11834,800027803,0,800032055,-65.88465,18.23202,69.59,4,0.0,3600.0,0.2,247.5,0.055,0.00379,0.42900643,5.7977057,-9999,2000-01-01,50055750,0,4399,0.11,28.98853,9.662843
11873,800034965,0,800028092,-66.92358,18.398462,189.82,3,0.0,3600.0,0.2,80.0,0.055,0.055,0.4255394,5.9053264,-9999,2000-01-01,50011000,0,4415,0.11,29.526632,9.842211
11876,800035376,0,800028940,-66.559586,18.209835,527.59,3,0.0,3600.0,0.2,759.7,0.055,0.01672,0.4920096,4.2497883,-9999,2000-01-01,50025155,0,8372,0.11,21.248941,7.0829806
11910,800025122,0,800035859,-66.21327,18.037714,108.82,3,0.0,3600.0,0.2,691.1,0.055,0.01546,0.44650567,5.29541,-9999,2000-01-01,50100450,0,7036,0.11,26.47705,8.825684
11954,800033809,0,800025253,-66.13926,18.200626,398.95,4,0.0,3600.0,0.2,1020.0,0.055,0.01318,0.49626333,4.1676683,-9999,2000-01-01,50047560,0,11249,0.11,20.83834,6.946114
11974,800038820,0,800025656,-65.8553,18.071743,9.73,5,0.0,3600.0,0.2,5678.0,0.05,0.00171,0.41536444,6.2383204,-9999,2000-01-01,50085100,0,7049,0.1,31.1916,10.397201
11981,800039341,0,800037193,-66.87613,18.007647,27.46,4,0.0,3600.0,0.2,1591.0,0.055,0.00277,0.46430764,4.846344,-9999,2000-01-01,50129254,0,11250,0.11,24.23172,8.07724
12136,800038244,0,800027544,-66.06907,18.405523,2.58,4,0.0,3600.0,0.2,898.0,0.055,0.00016,0.45763782,5.0079246,-9999,2000-01-01,50049100,0,10832,0.11,25.039623,8.346541
12138,800038453,0,800027750,-65.92506,18.217905,67.33,4,0.0,3600.0,0.2,929.7,0.055,1e-05,0.44779986,5.2607837,-9999,2000-01-01,50056400,0,4507,0.11,26.303919,8.767973
12148,800040437,0,800033962,-66.03062,18.242804,57.71,3,0.0,3600.0,0.2,3519.1,0.055,0.00236,0.45405877,5.097846,-9999,2000-01-01,50055225,0,13065,0.11,25.489231,8.49641
12154,800024543,0,800035283,-66.6197,18.324265,103.42,4,0.0,3600.0,0.2,2013.6,0.055,0.00604,0.40613335,6.564351,-9999,2000-01-01,50027000,0,11060,0.11,32.821754,10.940585
12225,800024587,0,800039666,-66.58065,18.070162,100.96,4,0.0,3600.0,0.2,3216.5,0.055,0.01101,0.44111302,5.4432845,-9999,2000-01-01,50114000,0,9226,0.11,27.216423,9.072141
12239,800029052,0,800029073,-66.45645,18.23559,261.34,3,0.0,3600.0,0.2,833.9,0.055,0.02007,0.44727054,5.274906,-9999,2000-01-01,50034000,0,4551,0.11,26.374533,8.791511
12310,800029680,0,800027587,-66.034,18.032743,81.33,3,0.0,3600.0,0.2,723.0,0.055,0.01755,0.44102785,5.445668,-9999,2000-01-01,50092000,0,8409,0.11,27.22834,9.076114
12329,800036573,0,800030140,-65.69488,18.296839,49.23,3,0.0,3600.0,0.2,1087.0,0.055,0.00854,0.45486116,5.0774856,-9999,2000-01-01,50071000,0,11563,0.11,25.387428,8.462476
12358,800026595,0,800033026,-66.782715,18.29809,291.82,4,0.0,3600.0,0.2,951.1,0.055,0.01077,0.4421527,5.4143157,-9999,2000-01-01,50028000,0,9232,0.11,27.071577,9.023859
12371,800029185,0,800029186,-66.353935,18.081448,104.29,5,0.0,3600.0,0.2,282.0,0.05,0.01014,0.38760385,7.297282,-9999,2000-01-01,50106100,0,7108,0.1,36.486412,12.162137
12383,800033236,0,800037544,-66.561485,18.090607,167.19,4,0.0,3600.0,0.2,2903.0,0.055,0.01716,0.48257664,4.440418,-9999,2000-01-01,50112500,0,4597,0.11,22.20209,7.4006963
12425,800030489,0,800023998,-67.08375,18.159794,54.94,4,0.0,3600.0,0.2,931.2,0.055,0.00872,0.44019434,5.469068,-9999,2000-01-01,50136400,0,7116,0.11,27.34534,9.115113
12454,800024351,0,800024350,-66.79811,18.03808,25.71,4,0.0,3600.0,0.2,1042.0,0.055,0.00587,0.4370234,5.5594287,-9999,2000-01-01,50124200,0,12531,0.11,27.797142,9.265714
12627,800027585,0,800038273,-66.02351,18.014599,63.56,4,0.0,3600.0,0.2,1306.9,0.055,0.02904,0.4182776,6.140273,-9999,2000-01-01,50093120,0,4689,0.11,30.701366,10.2337885
12684,800040583,0,800038385,-65.961395,18.182884,78.53,5,0.0,3600.0,0.2,1811.3,0.05,0.00098,0.39127553,7.1429896,-9999,2000-01-01,50051800,0,4700,0.1,35.714947,11.904983
12881,800033475,0,800040008,-66.37399,18.445435,4.13,5,0.0,3600.0,0.2,2052.8,0.05,1e-05,0.35440287,8.93951,-9999,2000-01-01,50039500,0,12285,0.1,44.69755,14.899183
12882,800034059,0,800036264,-65.96738,18.256458,44.71,5,0.0,3600.0,0.2,731.4,0.05,1e-05,0.3694687,8.134511,-9999,2000-01-01,50057000,0,4782,0.1,40.672558,13.557519
12884,800035040,0,800024308,-66.842995,18.037428,38.88,4,0.0,3600.0,0.2,3646.9,0.055,0.00442,0.40311548,6.6762714,-9999,2000-01-01,50126150,0,11071,0.11,33.381355,11.127119
12914,800028757,0,800037377,-66.71586,18.409206,82.59,4,0.0,3600.0,0.2,1838.7,0.055,0.0388,0.4284694,5.81419,-9999,2000-01-01,50028400,0,9265,0.11,29.07095,9.690316
12969,800035178,0,800035177,-66.72229,18.24317,162.1,4,0.0,3600.0,0.2,515.7,0.055,0.01215,0.39795753,6.874021,-9999,2000-01-01,50021700,0,4815,0.11,34.370106,11.456702
12985,800029123,0,800033421,-66.41433,18.292719,137.96,5,0.0,3600.0,0.2,620.3,0.05,0.01074,0.37384874,7.920088,-9999,2000-01-01,50031200,0,7199,0.1,39.600437,13.200147
13022,800033158,0,800035277,-66.638596,18.22865,306.62,4,0.0,3600.0,0.2,850.6,0.055,0.01369,0.3955861,6.9677796,-9999,2000-01-01,50026025,0,4838,0.11,34.838898,11.612967
13028,800038315,0,800029718,-66.008995,18.240189,49.1,5,0.0,3600.0,0.2,809.9,0.05,1e-05,0.34851784,9.285332,-9999,2000-01-01,50055000,0,4842,0.1,46.42666,15.475553
13131,800029540,0,800027448,-66.13531,18.33964,29.02,4,0.0,3600.0,0.2,2480.0,0.055,0.0036,0.3887275,7.2495575,-9999,2000-01-01,50047850,0,9843,0.11,36.247787,12.082596
13236,800035211,0,800024465,-66.69581,18.302631,93.39,5,0.0,3600.0,0.2,2556.7,0.05,1e-05,0.35890722,8.687226,-9999,2000-01-01,50024950,0,8485,0.1,43.436134,14.478711
13247,800025133,0,800040199,-66.224556,18.223543,186.64,5,0.0,3600.0,0.2,707.6,0.05,1e-05,0.33381003,10.238637,-9999,2000-01-01,50043800,0,8488,0.1,51.193184,17.064394
13297,800036908,0,800039059,-67.09205,18.359869,14.43,5,0.0,3600.0,0.2,57.9,0.05,1e-05,0.36047947,8.601581,-9999,2000-01-01,50147800,0,9846,0.1,43.0079,14.335967
13326,800031871,0,800031873,-66.009445,18.334982,16.45,6,0.0,3600.0,0.2,1621.7,0.05,1e-05,0.30736664,12.344842,-9999,2000-01-01,50059050,0,8495,0.1,61.72421,20.574736
13343,800037673,0,800037676,-66.46067,18.318779,45.7,5,0.0,3600.0,0.2,1916.8,0.05,1e-05,0.32749003,10.691987,-9999,2000-01-01,50035000,0,7271,0.1,53.459934,17.819979
13420,800032369,0,800039561,-66.68496,18.367533,61.73,6,0.0,3600.0,0.2,13273.8,0.05,0.00367,0.3152952,11.652384,-9999,2000-01-01,50027600,0,7288,0.1,58.261917,19.420639
13461,800032452,0,800038889,-67.14711,18.1409,4.85,5,0.0,3600.0,0.2,838.2,0.05,0.00116,0.33345214,10.263562,-9999,2000-01-01,50138000,0,4993,0.1,51.31781,17.105938
13481,800031165,0,800033307,-66.5264,18.429888,6.78,5,0.0,3600.0,0.2,736.4,0.05,1e-05,0.31684816,11.523331,-9999,2000-01-01,50038100,0,12617,0.1,57.616653,19.205551
13516,800038935,0,800038933,-67.15133,18.39402,4.99,5,0.0,3600.0,0.2,1166.7,0.05,0.00173,0.34500796,9.500828,-9999,2000-01-01,50148890,0,5013,0.1,47.50414,15.834713
13520,800028781,0,800024469,-66.70074,18.438375,9.99,6,0.0,3600.0,0.2,4193.0,0.05,0.0017,0.30840254,12.251052,-9999,2000-01-01,50029000,0,7303,0.1,61.25526,20.41842
13620,800025099,0,800025097,-66.238754,18.34442,31.13,5,0.0,3600.0,0.2,665.3,0.05,0.01911,0.31314605,11.834439,-9999,2000-01-01,50045010,0,5041,0.1,59.172195,19.724064
13643,800035815,0,800037928,-66.25819,18.403297,3.51,5,0.0,3600.0,0.2,2648.5,0.05,1e-05,0.3067227,12.403666,-9999,2000-01-01,50046000,0,7328,0.1,62.01833,20.672775
13650,800024049,0,800030521,-67.052666,18.285969,33.72,5,0.0,3600.0,0.2,2730.5,0.05,0.00227,0.327163,10.716227,-9999,2000-01-01,50144000,0,5051,0.1,53.58113,17.860378
13832,800031155,0,0,-66.51861,18.054176,58.99,1,0.0,3600.0,0.2,1268.2,0.06,0.02453,0.67881227,2.0489979,-9999,2000-01-01,50111500,0,5095,0.12,10.24499,3.4149966
